product_category_name_english,num_orders,total_revenue,avg_item_price
health_beauty,8836,1258681.34,130.16
watches_gifts,5624,1205005.68,201.14
bed_bath_table,9417,1036988.68,93.3
sports_leisure,7720,988048.97,114.34
computers_accessories,6689,911954.32,116.51
furniture_decor,6449,729762.49,87.56
cool_stuff,3632,635290.85,167.36
housewares,5884,632248.66,90.79
auto,3897,592720.11,139.96
garden_tools,3518,485256.46,111.63
toys,3886,483946.6,117.55
baby,2885,411764.89,134.34
perfumery,3162,399124.87,116.74
telephony,4199,323667.53,71.21
office_furniture,1273,273960.7,162.01
